name,id,title,author_name,author_uri,voteSum,voteCount,rating,text,date
23andMe-DNA-Test-Ancestry-Personal,,I have enjoyed reading the multitude of reports provided about my ancestry ...,Lane,,,2,5.0,"Fascinating and eye opening results. Just be sure you want to know about your family history and exercise caution when you share results. My results had some surprises, which I was OK with. Other members of my family, not so much. This is a very thorough test. I have enjoyed reading the multitude of reports provided about my ancestry and potential health issues. Half price on Black Friday last year.",2018-07-29 00:00:00
23andMe-DNA-Test-Ancestry-Personal,,My results shocked me!,M. J.,,,1,5.0,"I have lived all my life thinking that I am mostly African American with a fair percentage of Native American. Oh, was I schocked when I got my results. At first I thought they sent me the wrong results. I am 49.7 percent European (Irish, Scottish, & UK), only 3% Native American, and 45% African American. The rest very small fractional percentages of other nationalities. It has not changed my life. I am still me! The same person I was before the results. It is all very interesting to see so many people I am related to.",2018-12-18 00:00:00
23andMe-DNA-Test-Ancestry-Personal,,Very cool,Claude Landes,,,3,5.0,"Got my results after about a month of waiting. Very cool to know what your ancestry is (even though I am 100% European, it still told me which regions I am from and how much I get from each region). I would recommend uploading the raw data or importing it to Promethease for more detailed health analysis.",2018-01-12 00:00:00
23andMe-DNA-Test-Ancestry-Personal,,Complete waste of time and money--totally WORTHLESS,Bruce,,,17,1.0,"Complete and total WASTE OF TIME AND MONEY. Told me only that I had 97 or 98% northeastern European ancestry; nothing more specific. I could have told anybody that earlier, without the DNA test, from what I know about my grandparents. A friend of mine took the DNA test from a competing company, and that company was able to nail down the specific country from which his ancestors originated. To add injury to insult, a couple of weeks after both my wife and I purchased these DNA kits, this company temporarily dropped the price of the kits by $50 each. Total disgusting waste.",2018-01-28 00:00:00
23andMe-DNA-Test-Ancestry-Personal,,Love the easy collection,Catherine M. Cornelius,,,2,5.0,"Love the easy collection. I love the results on major health risks. It is a risk that you may have a high chance of genetic linked problems. Think about what you will do if results are not what you want. Talk with your Doctor if you are at high risk. You may have a chance to plan ahead. They warn you ahead that some results are not what you expected. If you can Handel the truth, I say do it. It can also be a gift to science because it collects info. It is accurate. Not a joke.",2018-02-20 00:00:00
23andMe-DNA-Test-Ancestry-Personal,,Nothing but good stuff to say about 23andMe,samantha j.,,,6,5.0,"I have nothing but great stuff to say about my 23andMe. I wanted to do this test for years and finally decided it was worth the expense. Once I received the kit, I followed all of the instructions - I registered my kit, the morning before brushing my teeth I filled the tube with my saliva, closed it up according to directions and shipped it. I wasn't expecting results until mid-Feb, which gave them 8 weeks to process. They received my kit on Dec 2, I had my results by Jan 2. What a way to ring in the new year!

I spent time answering a bunch of the questionnaires they offer - all in the name of science! The more I share, I figure the more I help them discover gene expression. Some Amazon reviewers were upset that they were asked to answer these questions, but it isn't mandatory that you answer all of them.

I feel like I know SO MUCH more about myself. The way it traces back your ancestry is amazing. I have Iberian lineage?? Who knew?? I had to google Iberia! I shared my results with other users - I have 1,116 third and fourth cousins who've also done a 23andMe kit. Mind blown. I learned a lot about my wellness. I have the muscle fiber found in elite power athletes?!?!? Cool! I wish I has the joints to train like one...

I read a ton of the reviews before ordering, both on this site and the web. I feel great about my decision to use 23andMe. They really break down the science behind the test so you get a complete understanding of what you are looking at, there are tutorials on some of the items. They link to other reputable information if you want to learn more about indicators for your health. The website is super easy to navigate, and they give you plenty of information up front before you release anything, so you can make informed decisions.",2018-01-03 00:00:00
23andMe-DNA-Test-Ancestry-Personal,,not as useful as I thought,Brent H.,,,3,2.0,I got my kit because I never knew my fathers side of medical history and the ONLINE data that came back did not help much and was in a poor format for my needs,2018-10-29 00:00:00
23andMe-DNA-Test-Ancestry-Personal,,A Great Service!,Grant Smith,,,6,5.0,"It's really neat to see how my genetics break down and the health aspect has been really neat as well. I especially like that as new tests get approved for release, I get access to them.",2017-04-07 00:00:00
23andMe-DNA-Test-Ancestry-Personal,,A perfect gift for the person who is hard to buy for!,JillHdz,,,0,5.0,"I got this for my husband for Father's Day after he had mentioned a few times that he'd love to do one of these tests. This kit made him very happy and taught him SOO much about himself! His grandmother was born in rural Mexico, she never knew how old she was or when she was born, her mother kept a log but they lost all of that information in a flood... back then, it was common for struggling parents living in rural areas, never to be issued birth certificates for their children. So, without even that much information to go on, he was very happy because 23andme was able to tell him more things than some of his family were ever even aware of!",2018-12-21 00:00:00
23andMe-DNA-Test-Ancestry-Personal,,Slow,J.S.,,,5,2.0,They have had my test for almost 2 months. It has been stuck on the dna extraction for a month and a half. This takes way to long to get results. If there is a backlog they need to fix it.,2018-01-27 00:00:00
23andMe-DNA-Test-Ancestry-Personal,,No bueno,Mom of 3 in 3 years,,,4,1.0,Totally bummed out. They could not analyze my sample on two separate attempts and would not try a third. I followed the instructions and did as directed. Was very curious to see the results but I guess I’ll have to try another company. 👎🏽,2018-09-20 00:00:00
