name,id,title,author_name,author_uri,voteSum,voteCount,rating,text,date
23andMe,,23andme vs AncestryDNA plus Promethease - [updated Oct 2018],R. Holzle,,,6067,5.0,"Oct 2018 Update adds Alzheimer's section at end.

I had DNA analysis from 23andme. My wife had DNA analysis from both Ancestry(Anc) and 23andme. This review is my comparison of the two. I highly recommend secondary analysis of your results by Promethease, see further discussion at end of this review. Basically I like 23andme. If 23andme offers a lower cost ancestry only test, this is OK. For developing an ancestry tree, Ancestry.com is MUCH better IF you signup separately for Ancestry's subscription search service. Do not use Anc & Promethease for Alzheimer's - see discussion at end of this review.

TAKING TEST and SIGNUP – Very similar test taking. 23’s signup was more secure. Anc’s was easier, but they automatically put my wife’s test on my previously existing Ancestry account.

Waiting on RESULTS – Both send emails confirming sample receipt and when results were available. After logon, 23 provided step by step progress reports on the analysis process. The analysis process itself took about 10 days, including a holiday weekend. Total wait time was 3-4 weeks. Anc took 5 or so days longer than 23.

WEB SITE SECURITY – 23 is better. 23 requires a typical logon and password to get to the site. Anc automatically remembers your logon and password and just opens up when you go to the site. However, actually downloading your DNA file from Anc requires a full sign-on and confirmation link via your e-mail..

Ethnic Origin Analysis – I think 23 is (more correct). However Anc in Sept 2018 updated their report with better results. My sister did an ANC test in 2016 and I did one in 2018, the ethnic origin results were a fair bit different - not sure why.

DNA RELATIVE IDENTIFICATION – Recognizing that allocation of relatives to 1st, 2nd and 3rd cousins is somewhat imprecise. For my wife, 23 identified 4 second cousins and about 32 third cousins. Anc identified 1 first cousin, 2 second cousins and 9 third cousins. 23 also has ‘cousins’ outside the USA (in my case in the UK) which are really valuable contacts for ancestry searching. The web site does not directly identify a cousin’s location but you can easily guess this from supplementary info optionally provided by the cousin on 23’s site.

DNA RELATIVE CONTACT and ANALYSIS – Anc provides the e-mail for a contact and shared ancestors for each DNA relative. You get a lot more when you pay for their regular Ancestry services, see below. 23 provides an internal messaging application for communicating with contacts. The application works but is rudimentary and unsuitable for more than brief messages (especially with MS Edge); exchanging e-mail address’s after contact is more satisfying. Both have a couple levels of ‘sharing’ (aka privacy). Both have tools for grouping contacts.

Anc provides a powerful tree searching tool IF you subscribe to the regular Ancestry service. This is expensive, in the range of $200/year, but less with special offers. Given the moderate ‘tools’ in their basic DNA service, I view their DNA analysis as an (effective) teaser for their subscription service. UPDATE: I did signup for the Ancestry services and they are great. Specifically, with a subscription their DNA site shows a contacts pedigree chart if that contact already has built an Anc family tree. This is MASSIVELY better than 23's unsorted list of surnames. When you search for a particular name it searches all of the connected family trees - this is exceptionally useful.

MEDICAL INFO – Anc provides no medical info. In late 2016 23 had two test options - $100 for just the ancestry service and $200 for ancestry plus medical. As of Sept 2018, 23 provides FDA approved reports on your risk of 9 medical conditions, including Alzheimer's, plus several genetic carrier reports. Their discussion/explanation of your risks for these conditions is specifically approved by the FDA and is reasonably understandable, informative, and useful.

If you are so inclined, you can participate (answer a lot of online questions) in 23’s medical research. This is probably 20 ten minute questions sessions. I did this and feel like it was useful for medical research.

Analysis of you DNA results by Promethease, a third party service, provides excellent medical info.

CONNECTION to PROMETHEASE – Promethease (Prom) is a third party service that assess’s your detailed DNA results from either 23 or Anc and provides a detailed medical risk report. Go to the Prom site to get started. The download process is not too difficult. In Oct 2018 cost is $12 per report.

PROMETHEASE RESULTS –Prom generates 20,000 or so reports (hits) from the 700,000 or so genes that are tested by 23 and Anc. 23 and Anc test a different set of genes, although they mostly overlap. For my wife’s test from both 23 and Anc the corresponding Prom reports were about 85% the same for the 40 most significant hits (Prom magnitude 2.5 and above). There were 5 or 6 unique hits in the top 40 for each report. I judge that the unique hits were about equally important, between 23 and Anc - none were critical.

[Nov 2017 Update] In October 2017 I resubmitted by 2016 23 test to Prom. About 15% of the hits were changed. A couple unusual hits were deleted. A very significant change was that one gene comment changed from 'increased risk of Type 1 diabetes' to '18x risk of Type 1 diabetes'!!! I read up on this. It turns out that the genetic > diabetes risk/connection is currently a very hot and complex research topic. The relevant research report was published in 2017. My suggestion is to update your Prom report every year or two if there are concerns.

USING PROMETHEASE – IMPORTANT – Use of general DNA analysis to identify general medical conditions is an emerging (not well developed) technology/business. My guess is that the info provided by Prom is perhaps 30% or so of what will be available in 10 years or so. I regard the info provide as indicative, definitely not complete and possibly incorrect (due to either testing error or interpretation error).

Having said that, it is interesting, likely useful and potentially lifesaving. The information will be disturbing (negative), but in most cases not surprising. I think most people will be able to absorb the info without getting too stressed out. If you are a hypochondriac, this could be a problem. If you want a chance of good news, you can write down the stuff your are concerned about ahead of time, and then see if they actually shows up.

My comments for using the report are:
• Make sure you download a copy to your PC for future reference, don’t just look at it online.
• After you figure out how to use the report, move the '0' Magnitude slider up to a range of 2.5 or so. This will limit you to the top 40 or so hits. Then go down to the bottom of the report and hit the '2X' bar a few times to see all the hits.
• You can then hit the ‘Table’ button at the top and print a summary of the hits to help see the big picture. You can also open this table in Excel and modify/save it for a more useful table. If you do this, add a Frequency column if it's not already there.
• To me, after Magnitude, the most important factor is ‘Frequency’. This is what percentage of the target population has this condition. If its around 40% or higher, I think it’s already ‘dialed in’ to the normal medical process – it is something your doctor and the medical community will look for in any case. Most of the hits fall into this category. If it’s less than 10%, it’s likely not on your doctors radar screen and you will want to consider if it’s worth mentioning to your doctor.
• The second most useful item is the relative increased risk in the item discussion. Recognize that the absolute risk is not provided – this could be 1 in 100,000, so a 1.1 relative risk is almost meaningless. On the other hand I looked up AMD (Age Related Macular Degeneration-eye problems) on the internet; it affects 1 in 3 to 5 people by age 80, so 2x risk is really significant. Good to know this ahead of time.
• After you assess the top 40, which takes a while, you can expand the Magnitude to it’s full range. Then click on ‘Topics’ and click on sub topics of interest and see if any common concerns emerge. Do the same for ‘Medical Conditions’. This seems like a lot of work but only takes an hour or 2 once you get started. For me the common themes seem to be heart disease, Alzheimer’s and Rheumatoid arthritis – none of which are a surprise.
- When you find something that might be relevant you NEED to do supplemental research on the Internet. The Prom report is a brief and simple identification. Fuller understanding can significantly change (reduce?) your concern for the issue. Be aware that there are 'hypochondriac' web site for some of these issues. I like to start with Wiki, Mayo Clinic and WebMD. Search for the Prom gene name 'rs........'. Then find out what the common term(s) for the gene is e.g. MTFHR and search for that. Write stuff down, gene names can be confusing.
• Again, remember this is an emerging technology, so the results will change from year to year for a while. I guess that in 10 years it will be a routine consideration in a physical.

IMPORTANT. DO NOT Prom results from Anc for Alzheimer's. Anc almost always reports zero copies of the Alz APOE4 gene. Prom notes this in their report, but it’s carries a low Magnitude and is easy to miss. In Sept 2018 I did an Anc test and it returned (via Prom), Zero copies of the Alz gene. The Anc > Prom medical results were otherwise similar but slightly less extensive than 23 > Prom.",2017-01-22 00:00:00
23andMe,,Disgusted,Ama_customer,,,573,1.0,"I had to submit DNA twice and both times they said it failed on their end. Then they stated I am NEVER allowed to try again in the future. I purchased kits for the entire family and linked everyone to my account. What a huge waste of time. Funny thing is, I did ancestry.com at the same time and that gave me results in under 3 weeks!",2018-05-23 00:00:00
23andMe,,NOT happy,paxaw,,,717,1.0,"We bought two kits. My husband got his back in a couple of weeks and I waited and waited and waited...no communication. After 6 wks I emailed and they gave me some canned response “maybe there was difficulty” and let it go. I emailed them after for more details and got no response. A week later I noticed that their original email came with a survey so I filled it out stating that I was unsatisfied. Got a response stating that they tried to extract my DNA several times but couldnt and sometimes that happens. Bam, end of email...no next steps, no heres another extraction kit, nothing. It was like the CSR would only answer one topic per email. WHY did I have to wait 6+ weeks only to find out that there was an issue? If this is a thing that sometimes happens then shouldnt there be a policy in place to notify customers?! They had the results at their fngertips when I emailed so obviously my results were in, they were just sitting on someones desk waiting for ME to call THEM?! I could understand poor customer service if I were buying candybars, not $200 kits. Totally unacceptable. Still not resolved. Also, my husband’s results were totally lame. They provided stupid facts like “you’re less likely to flush after drinking alcohol, you’re more like to consume caffeine...”. Um...those are things that he already knows. My expectation was that the medical version of this kit was going to give medical information, e.g.: you’re predisposed for x disease, etc. A waste all around.",2018-01-24 00:00:00
23andMe,,SOLVED AN 83+ YEAR OLD MYSTERY OF MY GRANDFATHER'S IDENTITY,Coastal Girl,,,2159,5.0,"The testing is fairly simple: You receive a test vial (log in and register it on their website) and provide saliva up to the control line. Make sure you don't eat or drink for 30 to 45 minutes before providing your saliva sample. It is best not to brush teeth beforehand since it will only wash away valuable DNA and you want to ensure your sample has enough to process. Yes I had a few failed kits in my life and that set us back months of getting results on those kits. Anyway it’s fairly simple to provide saliva samples. Simple enough I had my 5 1/2 year old done and she was the easiest one to process. Then you place the kit back into included return envelope and wait for about 6 to 8 weeks for it to process. All while keeping tabs of the process online as each step finishes.

I started using 23andme in 2012 before the FDA had gotten nasty and demanded they stop providing such detailed health analysis. Most of the kits I purchased (all but 2) included the ancestry with health but the ancestry portion was the sole purpose for us using 23andme services. I have tested both of my parents, my two children, two paternal aunts, my daughter's paternal grandmother as well as myself and two cousins whom I tested to confirm our relationship. If you test at least one parent, you can easily sort matches that are shared with that parent to determine which matches are maternal and paternal. Since both my parents have tested mine literally shows who matches me from each side and my children can sort their matches based on me being tested too.

My paternal grandfather died in 1995 and took with him the secret of his past. He had ran away as a young boy and changed his name so we knew him only by the name he had taken. My family always yearned to know more about my grandfather's past but he had endured some sort of trauma or something and for whatever reason chose to never speak of it again. So we grew up only knowing half my father's ancestry - that of his mother.

After my grandfather died, I set out on a mission to try to figure out more about his past and his identity. I sent off for birth and school records and hit one dead-end after another trying to prove he was who he said he was. I spent hours going over census data on Ancestry's website, writing to courthouses across the country. The evidence pointed to the conclusion he was not who he said he was and so I had nothing solid to go by. Until 17 years into chasing cold trails, I discovered ancestry type DNA testing. I figured it wouldn't hurt to order my dad a kit and see where that would take us. If I could just find one close enough match then maybe it would give us a good lead on figuring out my grandfather's real surname.

After waiting for what seemed like months (it was actually only about 6 weeks) my dad's DNA was online (on 23andme’s secure site) and accessible along with all his many matches - which were basically cousins at various degrees of distance. It was one cousin (a predicted second cousin) in particular that gave me access to their family tree and actually dove in with me searching for clues that would lead us to my grandfather.

Just 6 months into researching my father's DNA, I found my grandfather's family and figured out who he really was. I wanted to ensure that my information was correct and so I contacted the daughters to the man I believed to be my grandfather's brother and offered to test them both. Their test results confirmed they were indeed our 1st cousins. I have since been in contact with close and distant family via this newly discovered paternal side and even obtained a copy of my grandfather's family surname book. His absence was even recorded in the book! I solved an 83+ year mystery and gained a family I longed my entire life to know about. I cannot be more thankful that these tests are available and that it gives us such ability to solve things that seem impossible.

Granted this all sounds way easier than it was and in all honesty it took planning and sorting and meticulous record-keeping to rule out my father's maternal matches. I literally mapped my father's DNA and researched every match labeling in an Excel document, which chromosome location that relative fit and what surnames fit within those matches. It’s given me new found respect and interest in knowing about each and every ancestor that left their mark within our DNA. It’s time-consuming, rewarding and addicting. I can say that with all honesty as I now manage 15+ kits on various DNA web sites. I tested myself and both parents on 23andme as well as AncestryDNA and Dad was also tested on FTDNA but I met my most useful matches on 23andme. It was on 23andme that I found the best ability to pour over chromosomes researching every detail I could.

Oddly between 23andme and Ancestry their tests show a discrepancy in ethnicity estimates. One shows that my dad has a tiny trace of Native American (23andme) yet AncestryDNA does not show any trace whatsoever of Native American. My son has confirmed Native American and was only tested on 23andme and his percentage came back at nearly exact what is on his BIA blood quantum card. So I lean in feeling more comfortable with 23andme’s ethnicity estimates.

IMPORTANT TO NOTE: You can take your raw data (once your DNA is processed) and download it from any of these DNA testing sites and upload them for free to GEDmatch. That site allows you to cross compare other matches on there from all the DNA sites. As long as others have their data on their too you can look at those matches and even see where the match is on individual chromosomes, etc. It’s a great tool to utilize along with your DNA testing sites.

FINAL THOUGHT: If you are looking to solve a mystery, 23andme is great. If you are looking to just fill in a family tree and you have a paid Ancestry membership or you are willing to pay for it, I would also suggest AncestryDNA. AncestryDNA gives you immediate access to your matches’ trees and you can in turn build on your own tree with the information. But if you are NOT a paid member to Ancestry, their AncestryDNA features are limited. I personally think its poor business practice for Ancestry to force people who already fork over money for the DNA kits to further pay to utilize services that should be totally included within the purchase of the kit. With 23andme, there are no additional hidden usage fees.

Whichever one you choose, be prepared to discover a new you.",2016-11-30 00:00:00
23andMe,,"They don't respond, and my sample is being processed well over 2 months",stevan,,,316,1.0,"It has been 2 and a half months since they received the sample and nothing, and they have a FALSE advertisement of 6 to 8 weeks processing . I keep submitting tickets and they just keep closing them without doing anything. Useless support (I think outsourced in India, not sure about the accent). Anyway, if you want to spend $200 and send your DNA somewhere and get NO FEEDBACK about it this might be a good product for you.",2018-02-07 00:00:00
23andMe,,and if you have some idea about your origins you will be very disappointed in the Ancestry report,PR,,,158,1.0,"Caution! Quidado! Achtung!

If your ethnicity is other than European and African, and if you have some idea about your origins you will be very disappointed in the Ancestry report.

You will be clumped under a ‘genetically similar’ group which could span a subcontinent. Forget finding out what percentage came from what area.

They have simply not invested time and resources into other areas of the world.

I would recommend looking into MyHeritage and other test kits.",2018-03-30 00:00:00
23andMe,,Took my money and won't give it back even though they were unable to process my spit!,cyall8r,,,149,1.0,"I purchased this kit in Dec 2017. I received an email in Feb stating there was not enough DNA in the sample and they would send another kit free of charge to repeat the test. I repeated the test again following all instructions as I did in the first test and sent it back to them. Another month later I get the same email stating they can't process the test and they would issue a refund. I have called several times and emailed customer service, but they keep giving me the run around about my refund. It has now been 5 mos since I ordered the kit and I have no results or money back that I paid for the kit!",2018-05-05 00:00:00
23andMe,,Buy the $99 Kit,Amazon Customer,,,1315,5.0,"Excellent, but I would get the $99 kit over the $199 one. Then go to Promethease.com and dna.land.com and import your results (when their available from 23andMe), For $5.00 they give you loads of medical and other misc. insights from your genetic information. Importing is quick and easy, do it right from the Promethease website (links to 23andMe directly and grabs your data. dna.land requires you to upload data yourself). Just be sure to download a copy of the final results to your computer for future reference (as Promethease will automatically delete information from their servers after 4 months). DNA.LAND is free (it's a research project) well worth the extra effort and produces some more interesting results.",2017-01-22 00:00:00
23andMe,,No communication,Matt Rea,,,189,1.0,Packaging and saliva submission process was professional and comfortable but prepare to sit in “processing” status hearing nothing from the company for weeks on end.,2018-01-28 00:00:00
23andMe,,Tried to collect extra fees,RBS,,,216,1.0,"We have had nothing but problems with 23 and me with our purchase. To add to this they tried to get me to pay an extra lab fee to fix the problem they caused themselves. We finally got someone who looks like they will help, but we will see, a lot of time has been spent on this. I think the company may be in trouble or failing in some way, I am very concerned about our privacy as rumors are they are selling our data to third parties.
I would avoid 23 if you are looking for a pleasant experience.",2018-02-11 00:00:00
