name,id,url,price,avgUserRating,userRatingCount,currentVersionReleaseDate,description
Microsoft HealthVault,546835834,https://itunes.apple.com/us/app/microsoft-healthvault/id546835834?mt=8&uo=4,0.0,2.5,176.0,2017-11-13 17:55:48,"Ever wish you could access medical information for yourself and your family right from your iPhone? Wouldn’t it be great if you could easily access your prescription history? Or quickly look up critical medical history and insurance information in an emergency? You can, using HealthVault for iPhone.   HealthVault for iPhone provides mobile access to the health information in your Microsoft HealthVault account. Track chronic conditions, diet, weight, and exercise. Enter health data on the go. Keep family health information such as allergies, medications, and immunizations handy wherever you are.   HealthVault is a privacy- and security-enhanced online service designed to put you in control of your health information. HealthVault helps you gather and store health information from various sources and share information with those you trust. For more information about what you can do with HealthVault, visit www.healthvault.com."
FitnessSyncer,1159207899,https://itunes.apple.com/us/app/fitnesssyncer/id1159207899?mt=8&uo=4,0.0,3.0,6.0,2018-09-23 14:35:55,"Unify your health and fitness clouds for a comprehensive view of your health and wellness.   Whether you're just beginning your health and fitness journey or are a professional athlete, FitnessSyncer has the features you need to gain valuable insight into your data and stay motivated. Choose the best apps and activity-tracking wearables for each activity, and FitnessSyncer unifies the data into a consolidated view. No more juggling multiple apps and websites to see your data. Visualizing the total picture is key to maintaining a healthy lifestyle and making positive choices for optimal wellness.   CONNECT YOUR APPS * Automatically synchronize your health and fitness activity from more than 45 apps and activity-tracking wearables, including HealthKit, Fitbit, Garmin Connect, Strava, Nokia Health (Withings) * Unify your steps, distance, duration, calories burned, weight, blood pressure, glucose levels, nutrition, oxygen, sleep, temperature, and more in one Dashboard.   VISUALIZE YOUR DATA * Use the Dashboard built into the app to analyze your health and fitness. Track your progress by reviewing past workouts. * Use the Stream built into the app to review individual activities and data and for rich data items, analyze them in depth, including the map, charts, and splits.   EMPOWER YOUR DATA * Synchronize: Seamlessly move your health and fitness data between apps, trackers and devices. * FitnessSyncer ShoeRenew: Monitor the miles ran in your shoes so you know when to replace them, or set equipment maintenance schedules, such as bike tune ups etc. * Alerts: Get alerts for the data that matters most to you, such as reaching milestones and regressing on goals. * E-mail or Social Progress Reports: Share your progress with family and friends via email, Facebook and Twitter.   APPLE HEALTHKIT INTEGRATION * Read your Apple HealthKit data or supplement your Apple HealthKit from other data sources that FitnessSyncer supports. * Synchronization can be automated by opting into Notifications.   FitnessSyncer is free to use for up to 5 sources or destinations tasks. Get unlimited sources and destinations, more data on your dashboard, and more with FitnessSyncer Pro. A monthly subscription costs $3.99 USD monthly or $39.99 USD for an annual subscription charged to your iTunes account. Your subscription renews automatically at the same cost unless canceled a minimum of 24 hours prior to the end of the current period within your iTunes account. Subscriptions can be managed and auto-renewal turned off in Account Settings in iTunes after purchase.   Our full terms and conditions are available at https://www.fitnesssyncer.com/about/terms.html and our privacy policy at https://www.fitnesssyncer.com/about/privacy-policy.html ."
MTBC PHR,499832131,https://itunes.apple.com/us/app/mtbc-phr/id499832131?mt=8&uo=4,0.0,4.5,450.0,2018-07-17 02:21:39,"MTBC Personal Health Record (PHR) has brought its users the satisfaction of having direct access to one’s detailed health information and background.  Scheduling appointments with your doctor and viewing medical history was never this easy. PHR is a safe and user-friendly application to keep track of all your lab reports, claims and amount you owe. Furthermore, it provides the convenience to view all your health and appointment history and saves time if you wish to schedule an appointment with your doctor. Now available in market, this application is going to be with you wherever you go, linking you to your provider and your health records 24/7.  PHR offers an easy to use interface where you can cruise through the following options:  • Appointments:  Gives you flexibility to setup an appointment with your provider and cancel them pre-hand if required.  • Health History:  Holds directory of your medical history, medications, allergies and immunization records. • Claims History:  Provides ease of access to records of claims that have been submitted on your behalf. • Lab Reports:  Saves time and effort by providing you with a database of all the lab results for the tests you have undergone.  • Secure Messaging:  Helps you to connect with your provider via direct and secure messaging. • Demographics:  Allows you to update or edit any personal details such as Phone Number or Address.  Other features include: • Attractive interface for users • Sign up option for unregistered patients • Ease to clear claims by using online payment   • Smart search functionality for  appointments & claims  • Archive important messages  • Providing access to your health measurements taken from Withings, Fit Bit and iHealth devices to your providers with your permission.  Download this application and forget managing all those different medical files that you had to keep record of; this ‘all-in-one’ application is the solution to all your problems.  Note: The data collected from Apple Health app will only be shown to your Doctor to help them understand and diagnose better. We use your location periodically  to Auto Check-in you when you visit Doctor office.  This app may use your location even when it isn’t open, which can decrease device battery life."
"Accolade, Inc.",1203452254,https://itunes.apple.com/us/app/accolade-inc/id1203452254?mt=8&uo=4,0.0,5.0,2637.0,2018-09-27 17:05:37,"All the benefits of your Accolade Health Assistant® now on your mobile phone. Questions about your coverage? Need help finding a new doctor? Confused about a provider bill? Healthcare support is just a secured message away with Accolade Mobile.  Text your health assistant questions anytime, anywhere.  - Send secure messages to your health assistant from home, work or on the go.  Click to call your health assistant directly.  - Easily go from text to call, or request a callback if your health assistant is unavailable.  Store and share insurance cards.  - Use Accolade Mobile as a virtual wallet - share cards with your doctor right from the app.  Snap and send images of your healthcare bill.  - Confused about a bill from your doctor or lab? Take a photo & let your health assistant take a look.  Get the most out of your doctor visits.  - Bring questions prepared by your health assistant to your next appointment!  Find a new in-network provider.  - Ask your health assistant for help finding a nearby physician or facility.  Don’t have an Accolade Health Assistant® yet? When you send your first secure message, you’ll be assigned a dedicated health assistant for the entire family. Your health assistant takes the time to get to know you and understand your needs so they can help you make the best heathcare decision possible and get the care that’s right for you.  Get Accolade Mobile today!  Watch Tiffany’s story to learn how Accolade Mobile has made a difference in her life. https://www.youtube.com/watch?v=YdpFKFM5Eu0&t=4s  Like us on Facebook: https://www.facebook.com/AccoladeInc Follow us on Twitter: https://twitter.com/accolade  Let’s get messaging!"
Capzule,386321118,https://itunes.apple.com/us/app/capzule/id386321118?mt=8&uo=4,0.0,3.5,127.0,2018-09-14 00:59:33,"Using too many Health Apps?  Consolidate with Capzule - Single App to Track Health and Wellness of Your Family.  Stored locally on your device. Capzule PHR is the most comprehensive personal health records App. A must have for parents, family caregivers and chronic patients.  - TouchID Enabled - Today View Widget (My Profile, Reminders & Appointments) - AirDrop File/Backup Share - Drive and Dropbox Interfaced - Keep Family Health Data Organized - Create Summary in PDF, Email, Export & Print - Import CSV from Mail Attachments/Other Apps - Scan Documents Using Camera into PDF - Create Custom Health Monitoring Templates to Track Any Chronic Condition - Set Unlimited Medication Reminders  - Set Doctor Appointment Reminders - Visualize Health Data in Graphical Timeline - Upload Files Directly From Computers - Edit Directly From A Computer Browser - Add Files From Other Apps - Transfer Data Between iOS Devices - Password Protected - Create QR Code Summary for Emergency Personnel  - Data Backup/Restore Using Email or Computer  ** Features In Depth **  - Export CSV data from desktop/laptop - Record conditions and allergies - Store doctor appointments - Enter medications - Email summary and graphs - Print or download summary from desktop/laptop - Maintain immunization records - Enter vitals in Metric or Standard units - Analyze line graphs of vitals and lab results - Keep family, social and medical history together - Track health statistics with flowsheets and self health screening - Enter notes, upload results and files - Manage physician and insurance information - Password protected - Reset password when password is lost - Email flowsheet data in CSV (comma separated values) format along with graphs - Email Summary with images (graphs) - Email Documents/attachments - Categorize Notes, Results & Files   ** Auto-renewable In-App Subscriptions  - 1. Monthly Ad-Free ($1.49)  - 2. Yearly Ad-Free ($11.99) A purchase for the amount specified in the selected plan will be applied to your iTunes account on confirmation. Subscriptions will automatically renew unless canceled within 24-hours before the end of the current term. You can turn off automatic renewal in your iTunes account settings. (Terms of Use: http://www.capzule.com/inapp-tou.html)."
My Medical,347860026,https://itunes.apple.com/us/app/my-medical/id347860026?mt=8&uo=4,4.99,3.5,679.0,2015-10-09 15:54:32,"My Medical is a comprehensive record-keeping app for your personal medical information. It's the perfect replacement for unreliable paper records or various electronic systems that hold bits and pieces of your medical history. With My Medical, any and all information that is important to you is kept together in one place.  * It's for the whole family * My Medical isn't just one medical record. You can keep as many records as you want. Use it for a spouse or aging parents. Use it to keep immunization records for your children. Use it to look after a special needs child. Doctors, nurses and clinicians: use My Medical to maintain notes about your patients.  * 21st century record-keeping * At heart, My Medical is a thorough database that's yours to control and change. But it's nice to have some help, which is why the app offers autocompletion and autosuggestion for a wealth of medical jargon, including prescription drug names; vaccinations; common afflictions; life support options; laboratory units; and much more. That means more time keeping track of what's important, and less time trying to remember (or spell) the name of that medication.  * A medical record and more * Areas for emergency contacts, health insurance, doctors' contact information, and other data that are not strictly part of a traditional personal health record (PHR) are all available. And if you already have medical contacts in your address book, then perfect, because My Medical can import it in the tap of a finger. There's no need to retype it all.  * And it works with your calendar * My Medical will automatically put doctor's appointments and upcoming lab tests on your calendar. You can even set reminder alarms directly from the app, without ever going into your calendar.  * A digital file cabinet * What about photographs, labwork, x-rays and other important documents that can't be typed directly in? My Medical devotes an entire area to extra files that can be attached to your record. Not only that, you can tie files to particular items anywhere within your information. So add a picture of the pill next to a medication. Keep a copy of your insurance card alongside a provider's contact information.  * From blood tests to X-rays * My Medical provides a range of common test result templates for you to track test results. To name just a few: blood pressure; cholesterol; metabolic panels; blood sugar; CAT scan; height and weight. If that isn't enough, construct and customize your own test results to keep track of exactly what you need.  * Visualize it * Chart test results with sophistication and discover trends over time. With the charting feature you can view multiple graphs simultaneously and even see moving averages to uncover long term changes.  * It's secure * Unlike most other health record applications, data is stored right on your device, not on remote servers. So you don't need to worry about who can see your data at the other end of the line. In fact, My Medical does not connect to the Internet at all and doesn't send out any private or diagnostic information, making it as secure as possible. As a further safety measure, you may require a password in order to view all or certain parts of your information.  * In case of emergency * My Medical is a valuable aid for EMTs, first responders, or those who may need to quickly find out emergency instructions. Even if you have password-protected the app, certain information is made accessible in the event of an emergency.  * Sharing * Our mobile and Mac apps are fully compatible and you can seamlessly send data between them over a wireless network (WiFi).  * Apple Health App * We're now integrated with Apple's Health app and HealthKit. You can easily and automatically import measurements like blood pressure, weight, glucose and much more from the Health app into My Medical's Test Results section."
Health Records : GenexEHR,1089533617,https://itunes.apple.com/us/app/health-records-genexehr/id1089533617?mt=8&uo=4,0.0,,,2018-04-24 21:39:06,"Your Health Records in your Pocket!  GenexEHR is a simple App to take control of our health information, freeing us from the confines of a paper world. This gives our doctors, nurses and ourselves the flexibility to access and share our health information securely when and where it's needed.  Having your family's health records handy can help in many situations like:    A. You have a new doctor who needs the results of past checkup for your father     B. Your Mother forgets which medicine she's supposed to take    C. Your child has to go through a Medical Emergency    D. Your husband is diabetic and requires to record and share the BSL records    E. Storing Medical files/records like lab reports, Xrays, Allergies, discharge summary, immunization record, BP records etc.  ** Having access to Health records for you and your family's can save more than time, it can save lives. **  Key App Features:  • Capture and Maintain your paper investigations, prescription, Xrays etc in Medical Documents: 	Just take pictures of your records, store and share via apps like email, whatsapp, google drive, dropbox etc. No need to carry medical files to each doctor. Just show records on your mobile or share records without any restrictions. genexEHR helps you reduce paperwork regarding medical information and gives both you and your doctor enriched information helping better decisions.   • Maintain and Share your Glucometer, Blood Pressure and Weight reading: 	All of us have a busy life, thus we sometimes forget recording self observations. genexEHR provides automatic reminders as well as facility to share the records / graphs with your doctors in a breeze.   • View Prescriptions and get Reminders for individual medicines: 	Get e-prescriptions from doctors using genexEHR and set reminders. * You can also upload and store physical prescriptions.  • View Lab reports and share: 	E-Lab reports available from Diagnostic centres and Path Labs using genexEHR. * You can also upload and store pdf reports and photos of physical reports.  • View Medical Exam Records at Institutes: 	genexEHR provides application to Institutes and Corporates for conducting health exams and storing medical records for students and employees. The organization gets an application along with a special dashboard to view the health statistics of students, staff and employees.  • Search Doctors and Book Appointments: 	We can easily search and book appointments of doctors across India. Reduce your long waiting time by easy queue management.  • Link Accounts of your family and share Medical Records: 	genexEHR is for all your family members. You can connect or create upto 6 profiles. Accounts are automatically synchronized. If one parent adds a record for their child, it is notified to the other and record is updated. This ensures that all parents have upto date health records.  genexEHR is not just an app, but a complete Health platform!  Maintaining health record is a team effort involving individuals and care providers like doctors, lab technicians, clinicians... to share information. genexEHR provides a platform to all of them which leads to effective and efficient communication resulting in better healthcare for all of us.  For further details visit www.genexehr.com"
Healthspek - Personal Health Record & Family Health Record - Complete Medical Record,576488481,https://itunes.apple.com/us/app/healthspek-personal-health-record-family-health-record/id576488481?mt=8&uo=4,0.0,4.0,117.0,2016-03-19 16:52:58,"* Apple's List: Best New Apps - Medical * 5 Star Rating by PHRs Today * TabTimes list -- 5 best iPad apps for medical and health care! * Top Pick by Health Informatics Nurse. ""If a patient showed it to me as a nurse, I would be grateful to have their medical information presented so clearly"" * Appy Award 2013 Best App - Medical  Own Your Chart!  Healthspek is your own personal health record. Your record resides on your iPad and is stored securely on Healthspek’s cloud-based servers.  So if your lose your iPad, you'll never lose your chart!  Forget about complicated backups and syncs.  Healthspek's cloud takes care of it automatically.  And your family too! Add each family member to Healthspek for a complete family record.  With Healthspek, you get our ChartNow service for free.  Tell any doctor to go to www.chartnow.com and type in your 8-digit Access Code.  Instantly your chart appears. Anywhere around the world, at any time.  With a tap you can change your Access Code at any time if you feel your privacy has been compromised.  With Healthspek you start with 'myDashboard'.  You choose and customize your 'Speks' (think of them as widgets).  You even choose what order they appear. Speks such as Quick Refill, Urgent Care locator, and Vitals tracker are available.  Look to the future for many more Speks to be added - in fact make suggestions through the Feedback Spek.  Personalized Healthspek Carry Cards are available for $2.99.  Carry it around for instant or emergency access of your most important medical information. Your ChartNow Access Code is also displayed.  Track your conditions, refill your meds, track your lab results and more.  Record immunizations, allergies, supplements, procedures, and family history.  myInbox grants account holders a unique Healthspek email address and allows users to receive and save communications, documents, and medical records sent from their healthcare providers directly to a secure inbox for review.  With Healthspek you have a future.  Expect great new features and a library of Speks coming in future releases.  *** if you are an ACO, hospital system, or large employer, contact us regarding partnering: info@Healthspek.com"
Medfusion Plus,922524241,https://itunes.apple.com/us/app/medfusion-plus/id922524241?mt=8&uo=4,0.0,3.0,101.0,2018-02-16 21:00:26,"All of your family’s health data in one place, automatically organized and kept up-to-date, available wherever you go. That's Medfusion Plus.  Tired of managing your family's health data across multiple Patient Portals?  Medfusion Plus pulls everything together, keeps it up-to-date automatically and puts you in charge of your data.    Plus features:  • Automatic retrieval and secure storage of health data for you and your family, including lab and test results, medications, allergies, immunizations, and more • Keep track of all of your family’s appointments – upcoming and previous • Stores data for you and any number of those you care for without limits on connections or space • Secure and HIPAA-compliant • Sync with Apple Health for vitals tracking  Simplify a bit of your life by keeping your health organized with Plus.  Don’t see your provider? Let us know at plus@medfusion.com  Interested in using our APIs? Find out more at http://medfusionplus.com/developer"
higi,599485135,https://itunes.apple.com/us/app/higi/id599485135?mt=8&uo=4,0.0,3.0,231.0,2018-11-08 23:53:49,"Knowing your numbers is the first step to understanding your health  higi helps you track your numbers so you can be a healthier you. Plus, we make it easy to share your information with your trusted doctors, healthcare providers, caregivers, family and friends. Join the millions of people already tracking their health on higi.  Measure what matters  Track blood pressure, pulse, weight, and BMI at 11,000 higi stations nationwide. Connect a mobile device and track your activity in your higi account.  higi integrates with the Apple Health app to sync your step data.   Please note that continued use of GPS running in the background can dramatically decrease battery life…"
Sharecare,964313779,https://itunes.apple.com/us/app/sharecare/id964313779?mt=8&uo=4,0.0,3.0,125.0,2018-11-05 15:29:02,"Meet the healthier YOU. Sharecare gives you a safe and secure place to manage all the moving parts of your health - all in one place - to help you live a happier and healthier life. Whether its fitness tips, diet plans, stress relief, or new year’s resolutions, Sharecare recommends simple things to do every day - and reminds you to do them.  BUILD YOUR HEALTH PROFILE • Take the RealAge test to learn your body’s actual age as compared to your calendar age • Created by Dr. Mehmet Oz and Dr. Mike Roizen, the RealAge test has been taken by more than 43M people and gets you started on your health journey where you need help most • Receive personalized recommendations based on your RealAge, with targeted suggestions on what you can do to live younger and improve your RealAge • Store and access all your health information in your health profile, including key biometrics, vitals, conditions, immunizations, lab results, and procedures • 100% secure; set a security PIN to stay signed in while maintaining your privacy  CREATE HEALTHY HABITS THROUGH DAILY TRACKING • Keep track of your daily goals with activities that have the biggest impact on your RealAge, including weight, sleep, stress, activity, fitness, diet, blood pressure, and medications • Daily reminders to track these key metrics to stay on top of your health • Capture relevant progress based on your activity directly from your phone or by connecting Apple’s Health app • Turn trackers from red to green to earn green days and automatically lower your RealAge • Control your personal health data and decide which trackers to turn on and off  ACCESS INSIGHTS AND RECOMMENDATIONS • Receive daily personalized content and recommendations in your timeline based on your RealAge, interests, and activities within Sharecare • View insights each day based upon your progress to learn the impact on your overall health • Follow the health topics that interest you from the wealth of content offered by Sharecare’s health and wellness experts  GET THE CARE YOU NEED WHEN YOU’RE NOT FEELING WELL • Sharecare’s award-winning AskMD is more than just a symptom checker • Identify what’s possibly causing your symptoms and enables you to have a better doctor’s visit by giving you a summary of your results • Find a doctor in your area qualified to treat your symptoms and conditions • Filter physicians by specialty, insurance, distance, name, gender, and years of experience   CONNECT YOUR EMPLOYER AND/OR HEALTH PLAN • If your employer or health insurance plan is part of Sharecare, you also can get information about health screenings, open enrollment deadlines and additional tools to help you manage your health. Talk to your employer or health insurance provider to learn more."
Aetna Mobile,380845816,https://itunes.apple.com/us/app/aetna-mobile/id380845816?mt=8&uo=4,0.0,2.0,1941.0,2018-10-31 16:13:00,"With Aetna Mobile, your health care is always at your fingertips.  You can look up the status of a claim while at your doctor's office. Forgot your Aetna ID card? No problem. Show the staff your virtual card right on your phone. This feature uses your GPS function to help you no matter where you are ― at home or at work, while traveling for vacation or business. A map provides turn-by-turn directions.  FEATURES:  FIND A DOCTOR, URGENT CARE FACILITY, DENTIST, PHARMACY, HOSPITAL AND MORE Search our network to find the info you need: • Get driving directions (uses your GPS function)  • Call the office or facility • View a map  • Transfer contact information to your address book  Searching on Aetna Mobile is easier and faster than ever. Type your search -- just like you do with your favorite search engine. You can also enter locations like “near me” or a zip code to use your smartphone’s GPS.  LOOK UP CLAIMS See your most recent claims. Get a detailed view of each one. Or search for medical, dental and pharmacy claims by member name or date.  VIEW YOUR MEMBER ID CARD View the front and back of your ID cards. That's handy if you forgot your card.  VIEW YOUR PERSONAL HEALTH RECORD If your plan offers a personal health record, you can view your Alerts & Reminders, Emergency Information and Medications. And share data with your health care team.  DISABILITY CLAIM SUPPORT Aetna Mobile now comes with WorkAbility®. If you have Aetna Disability, you can view the status of your claims and the benefit payments issued on your disability claims.  CHECK BALANCES View limits and balances for your deductible and coinsurance. View balances for your health expense funds.  COMPLAINTS AND APPEALS SUPPORT If you are registered on Aetna Navigator, you can file complaints and appeals on Aetna Mobile. (Medicare members will continue to use the complaint and appeal forms on the Navigator public site.)  SECURITY You must always sign in with your User Name and Password. No one but you can reach your personal data.  And once a year we need you to confirm your profile. If your app says it's time to update, log in to the secure site using your computer or mobile web. After you confirm, you can once again access your secure, personal info ― from your computer, Aetna mobile, and this app.  TROUBLESHOOTING Can't access all the app's features?  If you have more than one Aetna plan or program, the app will prompt you to choose one. Choose your main account. This includes the claims of your current plan. (Some people have Aetna plans from previous jobs; those accounts show only old claims. Other people have financial accounts, such as a health savings account. This is not a main account.)  Is the health plan under your name? (Meaning you are the subscriber or primary account holder.) If so, you can access all the features your plan allows. If you are a dependent, you will have limited access, just like you do when using the secure site on a computer or via mobile web.  ABOUT AETNA Aetna is one of the nation's leading diversified health care benefits companies, serving more than 35 million people with information and resources to help them make better informed decisions about their health care. For more information, see www.aetna.com.  REQUIREMENTS The Aetna Mobile app is compatible with iPhone®, iPod® touch, and iPad® mobile digital devices."
Kaiser Permanente,493390354,https://itunes.apple.com/us/app/kaiser-permanente/id493390354?mt=8&uo=4,0.0,3.0,1785.0,2018-09-28 14:06:03,"Managing your health care just got easier with the latest version of our app. The redesign includes a colorful new interface, tools that make it faster and easier to use, and new quick-access menus that let you get advice, schedule appointments, and refill prescriptions. And our improved navigation puts the features and information you need within reach at all times.  Compatibility: Requires iOS 9.0 or later. Compatible with iPhone and iPod touch.  NOTE: Former Group Health members and Washington residents outside of Vancouver/Longview are unable to use the Kaiser Permanente app at this time. Download the Kaiser Permanente for Washington app to quickly and easily manage your health care  • Health plan members can sign into the app using their kp.org user ID and password to access our secure features, including:  • Messages: Email your doctor or Member Services with non-urgent questions, privately and securely. • Appointments: Schedule, view, and cancel appointments with your doctor’s office and see information about past visits.  • Pharmacy: Refill prescriptions for yourself or another member, check the status of a prescription order, and see a list of all your medications. • Medical Record: See your health history at your fingertips, including your allergies and immunizations, any ongoing health conditions, and most lab test results."
myCigna,569266174,https://itunes.apple.com/us/app/mycigna/id569266174?mt=8&uo=4,0.0,4.5,33074.0,2018-10-31 12:44:47,"Your health has met its app℠. The myCigna app gives you an easy way to personalize, organize and access your important health information--on the go. A must-have for Cigna customers. Features available are based on plan design (ie. Medical, Dental, Pharmacy, Vision, Behavioral, Disability, Accident…).  little app. BIG FEATURES.  ID Cards   •	Quickly view ID cards (front and back) for entire family  •	Easily print, email, fax or scan right from your mobile device  Claims •	View and search recent and past claims •	Bookmark and group claims for easy reference  Account Balances •	Access and view health fund balances •	Review plan deductibles and maximums  Home Delivery Pharmacy •	View and refill your prescriptions right from your mobile device •	Update billing and shipping preferences   Drug Search •	Look up and compare actual costs at 60,000 pharmacies nationwide •	Find closest pharmacy location using GPS •	Speed-dial Cigna Home Delivery PharmacySM  Health Care Professional Directory  •	Search for a doctor, dentist, pharmacy or health care facility, from Cigna's national network and compare quality-of-care ratings and costs  Procedure Search •	Search among hundreds of common medical procedures and compare costs for doctors and facilities •	Make choices based on costs personalized to you – we do the math for you including your deductible, coinsurance, and health care accounts (if available)    Coverage •	View plan coverage and authorizations •	Find what’s covered under your plan  Incentives •	View goal activity and awards  Health Wallet  •	Organize and manage all the health information you use most •	Store your biometric information (cholesterol, blood pressure, allergies and medications) •	Save contact information and build your personal contact list with the doctors, hospitals, pharmacies, emergency rooms, and other health care professionals and facilities you may call frequently  Languages Supported •	Spanish and English  Safe & Secure •	We use the latest technology in secure mobile applications to protect your personal health info while online or off     *You must be a Cigna customer to use the secure myCigna mobile app. Features available are based on coverage you have with Cigna.   About Cigna  More than just a health insurance company, Cigna is a global health service company--dedicated to helping the people we serve improve their health, well-being and sense of security. We make this happen through a broad range of integrated health care and related plans and services, and proven health and well-being programs that are targeted to the unique needs of our customers, clients and partners."
Blue Shield of California,728293729,https://itunes.apple.com/us/app/blue-shield-of-california/id728293729?mt=8&uo=4,0.0,4.5,2364.0,2018-10-12 01:00:32,"Manage your health care from anywhere with the Blue Shield of California app. View your ID card, search for doctors, track your claim information, understand your benefits and more. The Blue Shield of California app provides BSC members enhanced 24/7 service and ease-of-access to the information that matters most.  As a member of Blue Shield of California, with our app you can:  •	View your personalized dashboard •	Search for doctors and facilities, by doctor specialty, by location, and/or by name •	Display and share your Blue Shield of California ID card •	Track the current status of your plan usage, including deductibles and copayments •	Review your claims, and track the progress of new claims from outset to finalization •	Submit out-of-network claims •	Pay your monthly premiums •	Review your health care team, including your doctors’ credentials, locations and contact information •	See your health insurance plan information, including important documents like your plan summary and Evidence of Coverage (EOC) •	Review family members on your plan and see their personal information •	View your benefits, including information on custom benefits, general exclusions and benefit maximums •	Learn about our benefit discount programs, like dental, vision and pharmacy •	Find urgent care •	Quickly access your member information without having to type in your username password. Touch ID is now available for members using compatible devices.   This app is intended for use by Blue Shield of California members who are residents of California.  ©Blue Shield of California is an independent member of the Blue Shield Association."
MyHumana,779622024,https://itunes.apple.com/us/app/myhumana/id779622024?mt=8&uo=4,0.0,3.0,660.0,2018-11-09 15:18:24,"MyHumana provides quick and easy access to your Humana insurance information.  Coverage    - View important information you need about your plan details, including deductibles & balances.  Also view information for dependents and other delegated members covered under your plan.  ID Cards   - View, display and fax your Medical, Dental and Pharmacy ID Cards.  Drug Pricing   - Get pricing for your prescriptions at local pharmacies and find cost-saving opportunities through Humana Pharmacy.  Pay My Bill   - HumanaOne members; make one-time payments, set up recurring payments, add/edit/delete payment methods, view payment history and invoice details  Claims   - See your latest claims, their status, summary and detailed information.  Spending Accounts - View your latest transactions and account balances. - Easily verify Spending Account transactions by snapping and uploading receipts.  Provider Finder   - Find a doctor, pharmacy, dentist, hospital or urgent care center.  Search by name, specialty, ZIP code or current location.*  Profile   - View and edit your profile information (depending on your plan, certain fields may not be editable)   *   Requires location sharing enabled on your phone.   Continued use of GPS running in the background can dramatically decrease battery life."
Anthem Anywhere,589443627,https://itunes.apple.com/us/app/anthem-anywhere/id589443627?mt=8&uo=4,0.0,2.0,1479.0,2018-11-02 02:00:08,"Anthem Anywhere. We’re here to help you make healthy happen — wherever you go. We completely redesigned the look and feel. It's cleaner, simpler, and more intuitive.  • Log in easily and securely with Touch ID.    • Always have your member ID card with you.  • Estimate costs so you can plan ahead. • Find a doctor or urgent care and get directions. View ratings and reviews.  • Check copays, deductibles and more. • Keep an eye on claims (not all plans). • Securely send and receive messages about your plan."
