name,id,userRatingCount,avgUserRating,title,author,authorId,rating,date,voteSum,voteCount,content
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Noah Camp,107612558926338329616,5,2018-10-30 12:15:37,,,"This app is very useful and works well. Be sure you made a MyHealth OnLine account through a browser first, then use that account you created at the Login on the Application."
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,becky sowers,112619492728795859109,1,2018-10-24 19:00:34,,,I couldn't even create an account. Keeps saying there is an error
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Jo Wilkens,105213834612835862646,1,2018-04-12 17:45:25,,,"So, tried to register and just got an error message saying that what I typed in doesn't match their records. I checked, checked and rechecked the member number to make sure I typed it correctly and I did. Obviously I know my birthdate & soc info, which means that either the info is wrong in their end or the app isn't functioning properly. Here's the kicker though... There's no way to troubleshoot or reach out to anyone to get answers and/or get things fixed. Ridiculous waste of time."
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Kitiara Haught,101284658507733240262,1,2018-05-24 00:26:36,,,"Was able to use this app once. Any time I try to login now it says an unexpected error occurred. It's a shame because this would be a really great, convenient app if they'd fix it."
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Tina Marie G,107970609310524172773,1,2018-08-20 19:12:43,,,If I could give zero stars I would. It sucks. Never works. Always times out with errors. Ridiculous. Never had a problem with Highmark apps. Just saying. Get it together UPMC.
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,CJ Hood,110453620427101753298,1,2018-03-11 23:45:15,,,"Works about once a week if you are lucky. The rest of the time ""an unexpected error has occured"". Frustrating, considering its kind of important information, not just some game or pointless app."
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,P E,106093169332080109226,1,2018-03-21 15:35:24,,,"If I cannot create an account because of an ""unexpected error"", why should I keep the app? Waste of time and storage space."
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,chettiboi412,118387427219713513674,1,2018-03-26 16:36:09,,,Everything about UPMC sucks. Billion dollar corporation and cant even make an app that works. Tell the CEO to stop fueling his jet and put a couple hundred dollars towards fixing this.
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Andrew Simonelli,118031533277657755068,1,2018-04-20 04:16:42,,,Displays incorrect information. Clicking on things doesn't work. Poorly programmed.
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,A Google user,116741168377845092884,1,2018-10-10 18:47:25,,,Wouldn't let me create an account. Error message.
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Antonio Paiz,116607074476026784470,1,2018-10-03 07:10:33,,,Its slow and pain in the neck and WTSDS.
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Shane Gorman,110467677863575282229,1,2018-10-09 13:32:25,,,Wouldn't connect to my account
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Aliaksei Kalinkou,111806170190525794610,5,2017-12-21 23:24:04,,,Just started to use the app. Everything works as expected. Was able to create an account and login without issues.
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,The Mayes Family,103444762626054161315,1,2017-11-05 12:54:59,,,"I should've listened to the reviews! I installed it, TRIED (&lt;&lt;&lt;KEYWORD) to create an account & couldn't!! Just kept giving message that an unexpected error occurred. It would really be nice to have an app to go to instead of the website all of the time. Maybe I just haven't found the right app...in the meantime, FIX THIS ONE PLEASE!!!"
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Joseph Moreno,111938394183907794836,1,2017-09-01 02:31:54,,,Enter birth date by hitting the back button once for every month I've been on this earth to select on a pop uip calendar. Then not find my user ID. Have email sent confirming my ID is what I entered.... clunky. Needs work. I'll call in for my test results.
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Michelle Peters,105415336095155709748,1,2017-10-30 19:26:04,,,"A LOT OF DIFFICULTY to register... and then,  THE APP DOESN'T EVEN WORK! As an employee that needs to use this... it is REALLY FRUSTRATING! PLEASE get it fixed!!!"
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Mandy Williams,109113448997302315632,1,2017-10-12 08:28:00,,,Can't log in as EMPLOYEE.... app is supposed to ask if you are an employee and does not!
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Charlotte Osborn,114200728765298478697,5,2017-08-30 19:01:42,,,"Useful, easy to use. Have the info I need at my fingertips"
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Joseph Tylenda,103078493730963231861,1,2017-11-07 14:19:19,,,Difficult for seniors
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Mary Barbara Grgurich,106389616905147008290,1,2017-05-25 22:36:13,,,App will not allow me to log in site. App says user id not identified. Uninstalled app and reinstalled app. Still does not recognize my user name. So I tried to create a new account and it said could not create a account come back at a later time. Fix the app or get rid of it.
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Austin Gagliardi,106044773706257135021,3,2017-08-27 03:03:46,,,Useful when I works....but right now the login screen scale is way off. I thought I was on a splash screen until I scrolled down to a login prompt that was so big it filled the entire screen and you could only see one letter at a time.
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Natasha Gliha,117234847187816686173,1,2017-05-31 15:01:45,,,Keeps telling me there is an unexpected error and won't allow me to log in.
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Kenneth Svitek,112797749129406140142,2,2017-08-27 13:47:56,,,Your app is not working right everything is to big to hard to you now
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Drew Nicastro,113765058046544260210,2,2017-08-22 00:18:32,,,Everything is too large print I can't view anything
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Vani d,108345861883840960173,1,2017-06-02 21:11:20,,,Doesn't work at all
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,kayla mog,115652712563536037667,1,2017-07-04 08:04:39,,,Won't work
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Joyce S.,108330232555961679745,1,2017-04-05 00:53:20,,,"Used to love this app. I was able to check my eob's on my phone, now it says not compatible with my plan. Please fix"
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Kari Mellon,114421509909215304458,1,2017-03-22 17:56:53,,,"I can't get this app to work AT ALL. it says I already have an account but I can't log in. it won't proceed past member ID to get ""forgotten"" username."
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Bruce G,101926711316846252759,1,2017-03-31 02:30:15,,,App doesn't work at all! Can't sign in or find my account
UPMC Health Plan,com.upmc.healthplan,199,2.6180903911591,,Dan Britton,100108532395151449367,1,2017-10-08 20:27:20,,,"Waste of time, just another way to collect your information"
